Sass,"Sass is the most mature, stable, and powerful professional grade CSS extension language in the world"
LESS,"Less (which stands for Leaner Style Sheets) is a backwards-compatible language extension for CSS"
Stylus,"Stylus is a revolutionary new language, providing an efficient, dynamic, and expressive way to generate CSS"
